ID;Year_Birth;Education;Marital_Status;Income;Kidhome;Teenhome;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Response;Dt_Customer_month;Dt_Customer_dayofweek
2174;1954;Graduation;Single;46344.0;1;1;38;11;1;6;2;1;6;2;1;1;2;5;0;0;0;0;0;0;0;3;5
4141;1965;Graduation;Together;71613.0;0;0;26;426;49;127;111;21;42;1;8;2;10;4;0;0;0;0;0;0;0;8;2
6182;1984;Graduation;Together;26646.0;1;0;26;11;4;20;10;3;5;2;2;0;4;6;0;0;0;0;0;0;0;2;0
5324;1981;PhD;Married;58293.0;1;0;94;173;43;118;46;27;15;5;5;3;6;5;0;0;0;0;0;0;0;1;6
7446;1967;Master;Together;62513.0;0;1;16;520;42;98;0;42;14;2;6;4;10;6;0;0;0;0;0;0;0;9;0
965;1971;Graduation;Divorced;55635.0;0;1;34;235;65;164;50;49;27;4;7;3;7;6;0;0;0;0;0;0;0;11;1
6177;1985;PhD;Married;33454.0;1;0;32;76;10;56;3;1;23;2;4;0;4;8;0;0;0;0;0;0;0;5;2
4855;1974;PhD;Together;30351.0;1;0;19;14;0;24;3;3;2;1;3;0;2;9;0;0;0;0;0;0;1;6;3
1994;1983;Graduation;Married;37142.53488372093;1;0;11;5;5;6;0;2;1;1;1;0;2;7;0;0;0;0;0;0;0;11;4
387;1976;Basic;Married;7500.0;0;0;59;6;16;11;11;1;16;1;2;0;3;8;0;0;0;0;0;0;0;11;1
8180;1952;Master;Divorced;59354.0;1;1;53;233;2;53;3;5;14;3;6;1;5;6;0;0;0;0;0;0;0;11;4
2569;1987;Graduation;Married;17323.0;0;0;38;3;14;17;6;1;5;1;1;0;3;8;0;0;0;0;0;0;0;10;2
2114;1946;PhD;Single;82800.0;0;0;23;1006;22;115;59;68;45;1;7;6;12;3;0;0;1;1;0;0;1;11;5
9736;1980;Graduation;Married;41850.0;1;1;51;53;5;19;2;13;4;3;3;0;3;8;0;0;0;0;0;0;0;12;0
2278;1985;2n Cycle;Single;33812.0;1;0;86;4;17;19;30;24;39;2;2;1;3;6;0;0;0;0;0;0;0;11;5
9360;1982;Graduation;Married;37040.0;0;0;41;86;2;73;69;38;48;1;4;2;5;8;0;0;0;0;0;0;0;8;2
1993;1949;PhD;Married;58607.0;0;1;63;867;0;86;0;0;19;3;2;3;9;8;0;1;0;0;0;0;0;12;6
4047;1954;PhD;Married;65324.0;0;1;0;384;0;102;21;32;5;3;6;2;9;4;0;0;0;0;0;0;0;1;5
7892;1969;Graduation;Single;18589.0;0;0;89;6;4;25;15;12;13;2;2;1;3;7;0;0;0;0;0;0;0;1;2
2404;1976;Graduation;Married;53359.0;1;1;4;173;4;30;3;6;41;4;5;1;4;7;0;0;0;0;0;0;0;5;0
9422;1989;Graduation;Married;38360.0;1;0;26;36;2;42;20;21;10;2;2;1;4;3;0;0;0;0;0;0;0;5;4
6864;1989;Master;Divorced;10979.0;0;0;34;8;4;10;2;2;4;2;3;0;3;5;0;0;0;0;0;0;0;5;3
3033;1963;Master;Together;38620.0;0;0;56;112;17;44;34;22;89;1;2;5;3;3;0;0;0;0;0;0;0;5;5
5710;1970;Graduation;Together;40548.0;0;1;31;110;0;5;2;0;3;2;2;1;4;5;0;1;0;0;0;0;0;10;2
7373;1952;PhD;Divorced;46610.0;0;2;8;96;12;96;33;22;43;6;4;1;6;6;0;0;0;0;0;0;1;10;0
8755;1946;Master;Married;68657.0;0;0;4;482;34;471;119;68;22;1;3;5;9;7;0;0;0;0;0;0;0;2;2
10738;1951;Master;Single;49389.0;1;1;55;40;0;19;2;1;3;1;2;0;3;7;0;0;0;0;0;0;0;8;3
4339;1970;PhD;Married;67353.0;0;1;37;702;17;151;0;8;35;5;5;6;12;2;0;0;0;0;0;0;0;12;1
10755;1976;2n Cycle;Married;23718.0;1;0;76;6;3;14;15;7;36;3;3;1;2;7;0;0;0;0;0;0;0;9;0
8595;1973;Graduation;Widow;42429.0;0;1;99;55;0;6;2;0;4;2;1;1;3;5;0;0;0;0;0;0;0;2;1
503;1985;Master;Married;20559.0;1;0;88;13;1;29;3;0;7;2;2;0;3;8;0;0;0;0;0;0;0;3;1
8430;1957;Graduation;Together;21994.0;0;1;4;9;0;6;3;1;3;1;0;0;3;5;0;0;0;0;0;0;0;12;0
7281;1959;PhD;Single;41402.6;0;0;80;81;11;50;3;2;39;1;1;3;4;2;0;0;0;0;0;0;0;11;1
2139;1975;Master;Married;7500.0;1;0;19;3;1;10;3;2;12;3;2;0;3;5;0;0;0;0;0;0;0;10;2
9909;1996;2n Cycle;Married;7500.0;0;0;24;3;18;14;15;22;50;3;3;1;3;9;0;0;0;0;0;0;1;11;4
7286;1968;Graduation;Together;41728.0;1;0;92;13;6;15;3;5;13;1;2;0;2;10;0;0;0;0;0;0;0;5;4
7244;1951;Graduation;Single;47893.181818181816;2;1;96;48;5;48;6;10;7;3;2;1;4;6;0;0;0;0;0;0;0;1;2
8614;1957;Graduation;Widow;65486.0;0;1;29;245;19;125;37;67;14;1;4;2;10;2;0;0;0;0;0;0;0;5;0
1331;1977;Graduation;Single;35790.0;1;0;54;12;6;20;30;1;3;2;2;0;3;7;0;0;0;0;0;0;0;1;2
7437;1988;Graduation;Single;27938.0;1;0;31;13;0;8;2;1;5;1;1;0;4;3;0;0;0;0;0;0;0;4;0
8557;1982;Graduation;Single;43397.22727272727;1;0;57;11;3;22;2;2;6;2;2;0;3;6;0;0;0;0;0;0;0;6;0
8375;1968;PhD;Married;55954.0;0;1;63;447;0;28;0;0;43;3;8;2;6;7;0;0;0;0;0;0;0;3;0
6853;1982;Master;Single;75777.0;0;0;12;712;26;538;69;13;80;1;3;6;11;1;0;1;1;0;0;0;1;7;3
3076;1975;Graduation;Together;66653.0;1;1;18;452;18;102;16;18;6;4;4;2;12;3;0;0;0;0;0;0;0;9;4
6518;1951;PhD;Widow;67680.0;0;1;8;546;0;48;0;6;6;1;7;3;8;5;0;0;0;0;0;0;0;6;1
8082;1971;Graduation;Married;25721.0;1;0;75;1;3;6;3;6;15;1;1;1;2;7;0;0;0;0;0;0;1;5;1
1386;1967;Graduation;Together;32474.0;1;1;0;10;0;1;0;0;0;1;1;0;2;7;0;0;0;0;0;0;0;5;6
10629;1973;2n Cycle;Married;34319.8;1;0;25;25;3;43;17;4;17;3;3;0;3;8;0;0;0;0;0;0;0;9;4
8132;1975;PhD;Married;60631.0;1;1;88;565;6;65;0;6;19;5;9;2;8;7;0;1;0;0;0;0;0;4;4
1050;1952;Graduation;Married;28332.0;0;0;58;14;10;13;4;15;9;1;2;1;4;2;0;0;0;0;0;0;0;4;2
5846;1977;Graduation;Divorced;40246.0;1;0;68;2;1;6;2;1;1;1;1;0;2;6;0;0;0;0;0;0;0;12;2
10401;1976;2n Cycle;Together;26326.0;0;0;12;1;0;5;0;3;9;1;0;0;3;3;0;0;0;0;0;1;0;9;2
1618;1965;Graduation;Together;56046.0;0;0;9;577;0;64;0;0;51;2;10;1;8;8;1;0;0;0;0;0;1;1;2
3332;1985;Graduation;Single;29760.0;1;0;87;64;4;68;7;5;17;4;3;1;4;8;0;0;0;0;0;0;0;8;2
2261;1969;Graduation;Married;26304.0;1;0;5;4;1;5;2;0;4;1;1;0;2;7;0;0;0;0;0;0;0;6;6
5346;1973;2n Cycle;Married;23559.0;1;0;87;25;5;19;7;0;23;3;3;0;3;7;0;0;0;0;0;0;0;7;2
4119;1963;Master;Together;38620.0;0;0;56;112;17;44;34;22;89;1;2;5;3;3;0;0;0;0;0;0;0;5;5
535;1987;Graduation;Divorced;81361.0;0;0;18;163;23;424;27;65;76;1;3;10;13;1;0;0;0;0;0;0;0;2;1
5268;1960;Graduation;Married;29440.0;1;1;95;17;8;14;10;4;3;2;1;0;4;7;0;0;0;0;0;0;0;8;6
273;1970;Master;Married;36138.0;1;1;48;130;0;16;0;0;5;5;3;1;4;7;0;1;0;0;0;0;0;7;1
4452;1957;Graduation;Single;50388.0;0;1;3;292;6;37;0;3;34;4;6;1;6;7;0;1;0;1;0;0;1;5;2
771;1967;Graduation;Together;54178.0;0;1;79;135;9;39;4;0;7;1;2;2;5;2;0;0;0;0;0;0;0;1;1
9235;1957;Graduation;Single;52764.0;1;1;45;7;0;8;2;0;1;1;1;0;2;7;0;0;0;0;0;0;0;5;1
5798;1973;Master;Together;37261.38461538462;0;0;87;445;37;359;98;28;18;1;2;4;8;1;0;0;0;0;0;0;0;11;5
11178;1972;Master;Single;42394.0;1;0;69;15;2;10;0;1;4;1;1;0;3;7;0;0;0;0;0;0;0;3;6
2230;1970;PhD;Married;23626.0;1;0;84;27;2;14;0;0;0;3;3;1;3;5;0;0;0;0;0;0;0;5;5
